
[2026-06-23 14:59:00] Fetching servers()...
Found 41 servers.
  [  0] hi-virtualizor.mobinhost.net (127.0.0.1)
  [  1] RS-KVM01 (5.160.243.178)
  [  2] HI-KVM01 (45.129.38.178)
  [  3] RS-KVM02 (5.160.243.179)
  [  4] HI-KVM04 (45.129.38.181)
  [  5] RS-KVM03 (5.160.243.180)
  [  6] AF-KVM01 (185.3.124.18)
  [  7] AF-KVM02 (185.3.124.19)
  [  8] HI-KVM05 (45.129.38.182)
  [  9] HI-KVM06 (45.129.38.183)
  [ 10] HI-KVM07 (45.129.38.184)
  [ 11] AF-KVM03 (185.3.124.20)
  [ 12] HI-KVM08 (45.129.38.185)
  [ 13] AF-KVM04 (185.3.124.21)
  [ 14] AF-KVM05 (185.3.124.22)
  [ 15] RS-KVM04 (5.160.243.181)
  [ 17] HI-KVM09 (45.129.38.186)
  [ 18] RS-KVM05 (5.160.243.182)
  [ 19] RS-KVM06 (5.160.243.183)
  [ 21] HI-KVM10 (45.129.38.187)
  [ 22] HI-KVM03 (45.129.38.180)
  [ 23] HI-KVM11 (45.129.38.188)
  [ 24] HI-KVM12 (45.129.38.189)
  [ 25] HI-KVM13 (45.129.38.190)
  [ 26] HI-KVM14 (87.236.209.10)
  [ 27] HI-KVM15 (87.236.209.11)
  [ 28] HI-KVM16 (87.236.209.12)
  [ 29] RS-KVM07 (46.209.20.178)
  [ 30] HI-KVM17 (87.236.209.13)
  [ 31] HI-KVM18 (87.236.209.14)
  [ 32] HI-KVM19 (87.107.144.178)
  [ 33] HI-KVM20 (87.107.144.179)
  [ 34] HI-KVM22 (87.107.144.180)
  [ 35] HI-KVM21 (87.107.144.181)
  [ 36] HI-KVM23 (87.236.209.120)
  [ 37] HI-KVM24 (87.236.209.121)
  [ 38] HI-KVM25 (87.236.209.122)
  [ 39] AF-KVM06 (87.107.3.24)
  [ 40] AFKVM07 (87.107.3.25)
  [ 41] HI-KVM26 (87.236.209.123)
  [ 42] AF-KVM08 (87.107.3.26)

Saving to database...
