server_id,server_name,hostname,ip,virt_type,sgid,status,locked,locked_reason,country,state,city,os_distro,virt_version,virt_patch,lic_expires,sys_load,num_vps,vps_limit,ram_total_gb,ram_sold_gb,ram_free_panel_gb,ram_overcommit_gb,ram_sold_pct,disk_total_gb,disk_sold_gb,disk_free_gb,disk_used_gb,disk_used_pct,vcores_sold,cpu_units_alloc,bw_alloc_mb,uptime,live_cpu_model,live_cpu_mfg,live_cpu_limit_mhz,live_cpu_used_mhz,live_cpu_pct,live_ram_total_gb,live_ram_used_gb,live_ram_free_gb,live_ram_pct,live_swap_total_gb,live_swap_used_gb,live_swap_free_gb,io_user_pct,io_system_pct,io_iowait_pct,io_idle_pct,io_steal_pct,live_bw_used_gb,live_bw_in_used_gb,live_bw_out_used_gb,live_bw_limit_gb,storage_mount,storage_type,storage_format,storage_total_gb,storage_used_gb,storage_free_gb,storage_used_pct,cpu_physical_cores,hw_cpu_model,hw_cpu_vendor,hw_cpu_logical,hw_cpu_cores_socket,hw_cpu_threads_core,hw_cpu_sockets,hw_cpu_mhz,hw_cpu_max_mhz,hw_virt_support,hw_l1d_cache,hw_l2_cache,hw_l3_cache,hw_numa_nodes,hw_physical_disks,perf_storage_total_gb,perf_storage_used_gb,perf_storage_free_gb,perf_storage_pct,ajax_cpu_pct,ajax_ram_used_gb,ajax_ram_free_gb,ajax_ram_pct,panel_timezone,panel_interface,panel_license,panel_num_vs,panel_overcommit,panel_vcores_cfg,panel_vpslimit,recorded_at_shamsi
0,hi-virtualizor.mobinhost.net,hi-virtualizor.mobinhost.net,127.0.0.1,openvz,0,1,1,Locked By Admin,,,,AlmaLinux release 8.10 (Cerulean Leopard),3.2.8,5,31/12/2026 GMT,5.59,0,0,11.7,0.0,9.66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0," 19:23:21 up 1 day, 10:10,  0 users,  load average: 1.18, 1.63, 1.71",Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,intel,2297.0,13.0,1.0,11.7,1.88,9.82,16.05,8.0,0.01,7.99,4.86,0.88,0.01,94.25,0.0,0.0,0.0,0.0,0.0,/,,,340.24,111.24,229.0,32.69,0,Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,GenuineIntel,32,16,1,2,2297.34,0.0,,32K,256K,25600K,2,/dev/sda 350 GiB SSD,340.24,111.24,229.0,32.69,0.0,0.02,0.0,0.0,Asia/Tehran,,Professional,0,0,0,,1405/04/02 19:28
1,RS-KVM01,rs-kvm01.mobinhost.net,5.160.243.178,kvm,1,1,1,Locked By Admin,IR,Tehran,Zirsakht,AlmaLinux release 8.10 (Cerulean Leopard),3.2.8,4,31/12/2026 GMT,34.61,47,0,188.75,264.0,7.07,312.5,139.9,2248.0,2076.0,1573.0,675.0,30.0,143,95,61004," 19:23:25 up 260 days, 18:51,  0 users,  load average: 21.69, 20.48, 20.49",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,1199.0,560.0,47.0,188.75,176.31,12.44,93.41,300.0,83.06,216.94,16.03,8.26,1.18,74.53,0.0,35735.4,16928.06,18807.35,0.0,/rskvm01zfs,file,raw,2247.53,674.72,1572.82,30.02,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,1198.61,3300.0,VT-x,32K,256K,35840K,2,/dev/sda 2.7 TiB SSD,2247.53,674.72,1572.82,30.02,49.0,0.09,0.0,0.0,Asia/Tehran,eno49,Professional,47,320000,0,0,1405/04/02 19:28
2,HI-KVM01,hi-kvm01.mobinhost.net,45.129.38.178,kvm,2,1,0,,IR,Tehran,HiWeb,AlmaLinux release 8.10 (Cerulean Leopard),3.2.8,4,31/12/2026 GMT,34.14,60,0,188.75,305.0,10.32,605.47,161.6,3053.0,2712.0,2515.0,538.0,17.6,148,120,13944," 19:23:32 up 80 days,  5:45,  0 users,  load average: 17.81, 17.16, 17.94",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,3300.0,1185.0,36.0,188.75,164.06,24.69,86.92,400.0,101.35,298.65,15.62,13.87,0.57,69.95,0.0,4496.01,2282.83,2213.18,0.0,/hikvm01zfs,file,raw,3053.13,538.61,2514.52,17.64,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,1198.65,3300.0,VT-x,32K,256K,35840K,2,/dev/sda 3.7 TiB SSD,3053.13,538.61,2514.52,17.64,40.0,0.08,0.0,0.0,Asia/Tehran,eno49,Professional,60,620000,0,60,1405/04/02 19:28
3,RS-KVM02,rs-kvm02.mobinhost.net,5.160.243.179,kvm,1,1,0,,IR,Tehran,Zirsakht,AlmaLinux release 8.10 (Cerulean Leopard),3.2.8,4,31/12/2026 GMT,24.89,44,0,188.75,276.12,5.11,312.5,146.3,2247.0,1949.0,1677.0,570.0,25.4,138,90,47438," 19:23:39 up 260 days, 18:51,  0 users,  load average: 18.85, 16.18, 14.94",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,3300.0,1377.0,42.0,188.75,179.62,9.13,95.16,300.0,79.03,220.97,11.67,10.56,0.76,77.01,0.0,40827.74,20529.57,20298.17,0.0,/rskvm02zfs,file,raw,2247.41,570.27,1677.14,25.37,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,3300.0,3300.0,VT-x,32K,256K,35840K,2,/dev/sda 2.7 TiB SSD,2247.41,570.27,1677.14,25.37,31.0,0.09,0.0,0.0,Asia/Tehran,eno49,Professional,44,320000,0,0,1405/04/02 19:28
4,HI-KVM04,hi-kvm04.mobinhost.net,45.129.38.181,kvm,2,1,1,Locked By Admin,IR,Tehran,HiWeb,AlmaLinux release 8.10 (Cerulean Leopard),3.2.8,4,31/12/2026 GMT,33.55,48,0,188.75,280.0,8.12,507.81,148.3,1516.0,2263.0,912.0,604.0,39.8,128,96,15544," 19:23:46 up 83 days, 21:12,  0 users,  load average: 16.74, 17.94, 18.26",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,3300.0,1494.0,45.0,188.75,176.98,11.77,93.77,300.0,98.56,201.44,8.35,7.47,0.92,83.26,0.0,0.0,0.0,0.0,0.0,/hikvm04zfs,file,raw,1356.1,595.98,760.12,43.95,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,1198.52,3300.0,VT-x,32K,256K,35840K,2,/dev/sda 1.8 TiB SSD,1356.1,595.98,760.12,43.95,39.0,0.09,0.0,0.0,Asia/Tehran,,Professional,48,520000,0,60,1405/04/02 19:28
5,RS-KVM03,rs-kvm03.mobinhost.net,5.160.243.180,kvm,1,1,0,,,,,AlmaLinux release 9.4 (Seafoam Ocelot),3.2.8,4,31/12/2026 GMT,44.05,45,0,188.25,271.0,11.14,312.5,144.0,1317.0,2030.0,716.0,601.0,45.6,138,90,47112," 19:23:52 up 260 days, 18:52,  0 users,  load average: 22.18, 24.02, 24.65",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,1199.0,602.0,50.0,188.25,172.44,15.81,91.6,300.0,124.12,175.88,13.4,7.3,0.52,78.79,0.0,33964.76,17078.71,16886.05,0.0,/rskvm03zfs,file,raw,1317.43,601.03,716.4,45.62,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 1.82 TiB SSD,1317.43,601.03,716.4,45.62,48.0,0.09,0.0,0.0,Asia/Tehran,eno49,Professional,45,320000,0,,1405/04/02 19:28
6,AF-KVM01,af-kvm01.mobinhost.net,185.3.124.18,kvm,3,1,1,Locked By Admin,IR,,,AlmaLinux release 9.4 (Seafoam Ocelot),3.2.8,4,31/12/2026 GMT,31.29,62,0,188.25,448.0,5.51,800.78,238.0,1317.0,3458.0,330.0,987.0,74.9,224,124,83756," 19:24:02 up 1 day, 15:30,  1 user,  load average: 15.87, 18.23, 18.26",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,1199.0,541.0,45.0,188.25,179.22,9.03,95.21,300.0,14.08,285.92,16.09,6.28,0.83,76.8,0.0,128932.78,64776.24,64156.53,0.0,/afkvm01zfs,file,raw,1317.44,987.59,329.85,74.96,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 1.82 TiB SSD,1317.44,987.59,329.85,74.96,46.0,0.09,0.0,0.0,Asia/Tehran,eno49,Professional,62,820000,0,70,1405/04/02 19:28
7,AF-KVM02,af-kvm02.mobinhot.net,185.3.124.19,kvm,3,1,1,Locked By Admin,IR,,,AlmaLinux release 9.4 (Seafoam Ocelot),3.2.8,4,31/12/2026 GMT,16.96,37,0,188.25,383.0,6.74,800.78,203.5,1317.0,2614.0,559.0,758.0,57.6,182,74,12548," 19:24:10 up 1 day, 15:30,  0 users,  load average: 9.16, 8.98, 9.06",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,3300.0,592.0,18.0,188.25,177.4,10.85,94.24,300.0,0.0,300.0,7.24,3.73,0.42,88.61,0.0,19949.05,10105.67,9843.37,0.0,/afkvm02zfs,file,raw,1317.37,758.88,558.49,57.61,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 1.82 TiB SSD,1317.36,758.88,558.49,57.61,28.0,0.09,0.0,0.0,Asia/Tehran,eno49,Professional,37,820000,0,70,1405/04/02 19:28
8,HI-KVM05,hi-kvm05.mobinhost.net,45.129.38.182,kvm,2,1,1,Locked By Admin,,,,AlmaLinux release 9.4 (Seafoam Ocelot),3.2.8,4,31/12/2026 GMT,16.2,56,0,188.25,312.0,6.12,507.81,165.7,1317.0,2521.0,809.0,508.0,38.6,150,112,175668," 19:24:17 up 52 days,  7:49,  1 user,  load average: 9.04, 9.09, 9.08",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,2397.0,716.0,30.0,188.25,178.34,9.91,94.74,300.0,75.37,224.63,6.08,3.57,0.51,89.84,0.0,2629.52,2007.74,621.78,0.0,/hikvm05zfs,file,raw,1317.32,508.35,808.97,38.59,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 1.82 TiB SSD,1317.32,508.35,808.97,38.59,30.0,0.09,0.0,0.0,Asia/Tehran,eno49,Professional,56,520000,0,60,1405/04/02 19:28
9,HI-KVM06,hi-kvm06.mobinhost.net,45.129.38.183,kvm,2,1,1,Locked By Admin,,,,AlmaLinux release 9.4 (Seafoam Ocelot),3.2.8,4,31/12/2026 GMT,24.3,49,0,188.25,286.05,4.66,312.5,152.0,1317.0,2628.0,857.0,460.0,34.9,133,98,30368," 19:24:24 up 83 days,  8:12,  0 users,  load average: 10.45, 11.63, 12.40",Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,intel,1208.0,374.0,31.0,188.25,181.18,7.07,96.24,300.0,81.4,218.59,11.57,7.84,0.72,79.86,0.0,11542.76,5793.07,5749.69,0.0,/hikvm06zfs,file,raw,1317.39,460.06,857.33,34.92,56,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,56,14,2,2,0.0,3300.0,VT-x,896 KiB (28 instances),7 MiB (28 instances),70 MiB (2 instances),2,/dev/sda 1.82 TiB SSD,1317.39,460.06,857.33,34.92,33.0,0.09,0.0,0.0,Asia/Tehran,eno49,Professional,49,320000,0,65,1405/04/02 19:28
